Layers,Params,Variant,Final_Loss
1,185829924,Baseline,0.31718599796295166
1,185829928,QK_Gain,0.31717681884765625
1,185829924,XSA,0.300658643245697
1,185829924,Muon,0.167035311460495
1,185829928,All,0.15382543206214905
2,186028196,Baseline,0.339118629693985
2,186028204,QK_Gain,0.3391106128692627
2,186028196,XSA,0.2988327145576477
2,186028196,Muon,0.17082515358924866
2,186028204,All,0.14662455022335052
4,186424740,Baseline,0.378414511680603
4,186424756,QK_Gain,0.378412127494812
4,186424740,XSA,0.3162631690502167
4,186424740,Muon,0.16921323537826538
4,186424756,All,0.13856473565101624
